POINT,UNICODE,LATITUDE,LONGITUDE,X2004,X2010,X2012,X2017,X2018,X2020,first_dev,first_urb,t_infestans,cimex_sp,control
removed,removed,removed,removed,Developed,Developed,Developed,Developed,Developed,Developed,2004,,0,0,1
removed,removed,removed,removed,Developed,Developed,Developed,Developed,Developed,Developed,2004,,0,1,0
removed,removed,removed,removed,Developed,Developed,Developed,Developed,Developed,Developed,2004,,0,0,1
removed,removed,removed,removed,Developed,Developed,Developed,Developed,Developed,Developed,2004,,0,0,1
removed,removed,removed,removed,Developed,Developed,Developed,Developed,Developed,Developed,2004,,0,0,1
removed,removed,removed,removed,Developed,Developed,Developed,Developed,Developed,Developed,2004,,0,1,0
removed,removed,removed,removed,Developed,Developed,Developed,Developed,Developed,Developed,2004,,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Developed,2010,,0,0,1
removed,removed,removed,removed,Claimed,Developed,Developed,Developed,Developed,Developed,2010,,0,0,1
removed,removed,removed,removed,Claimed,Developed,Developed,Developed,Developed,Developed,2010,,0,1,0
removed,removed,removed,removed,Claimed,Developed,Developed,Developed,Developed,Developed,2010,,0,1,0
removed,removed,removed,removed,Claimed,Developed,Developed,Developed,Developed,Developed,2010,,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Developed,2010,,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Developed,2010,,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Developed,2010,,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Developed,2010,,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Developed,2010,,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Developed,2010,,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Developed,2010,,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Developed,2010,,1,0,0
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Developed,2010,,1,0,0
removed,removed,removed,removed,Barren,Claimed,Developed,Developed,Developed,Developed,2012,,0,0,1
removed,removed,removed,removed,Barren,Claimed,Developed,Developed,Developed,Developed,2012,,0,1,0
removed,removed,removed,removed,Claimed,Claimed,Claimed,Developed,Developed,Developed,2017,,0,0,1
removed,removed,removed,removed,Barren,Claimed,Claimed,Developed,Developed,Developed,2017,,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Developed,Developed,Developed,2017,,0,0,1
removed,removed,removed,removed,Barren,Claimed,Claimed,Developed,Developed,Developed,2017,,0,0,1
removed,removed,removed,removed,Barren,Claimed,Claimed,Developed,Developed,Developed,2017,,1,0,0
removed,removed,removed,removed,Barren,Barren,Barren,Developed,Developed,Developed,2017,,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Claimed,Developed,Developed,2018,,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Barren,Developed,Developed,2018,,0,0,1
removed,removed,removed,removed,Claimed,Claimed,Claimed,Claimed,Claimed,Developed,2020,,0,0,1
removed,removed,removed,removed,Claimed,Claimed,Claimed,Claimed,Claimed,Developed,2020,,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Barren,Claimed,Developed,2020,,0,0,1
removed,removed,removed,removed,Barren,Claimed,Claimed,Claimed,Claimed,Developed,2020,,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Barren,Claimed,Developed,2020,,0,0,1
removed,removed,removed,removed,Barren,Claimed,Claimed,Claimed,Claimed,Developed,2020,,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Barren,Barren,Developed,2020,,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Barren,Barren,Developed,2020,,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Barren,Barren,Developed,2020,,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Barren,Barren,Developed,2020,,0,0,1
removed,removed,removed,removed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2004,0,0,1
removed,removed,removed,removed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2004,0,1,0
removed,removed,removed,removed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2004,0,1,0
removed,removed,removed,removed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2004,0,1,0
removed,removed,removed,removed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2004,1,0,0
removed,removed,removed,removed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2004,1,0,0
removed,removed,removed,removed,Developed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2010,0,1,0
removed,removed,removed,removed,Developed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2010,0,0,1
removed,removed,removed,removed,Developed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2010,0,1,0
removed,removed,removed,removed,Developed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2010,0,1,0
removed,removed,removed,removed,Developed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2010,0,1,0
removed,removed,removed,removed,Developed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2010,0,1,0
removed,removed,removed,removed,Developed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2010,0,0,1
removed,removed,removed,removed,Developed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2010,1,0,0
removed,removed,removed,removed,Developed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2010,1,0,0
removed,removed,removed,removed,Developed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2010,1,0,0
removed,removed,removed,removed,Developed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2010,0,0,1
removed,removed,removed,removed,Developed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2010,0,1,0
removed,removed,removed,removed,Claimed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2010,2010,0,0,1
removed,removed,removed,removed,Claimed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2010,2010,0,0,1
removed,removed,removed,removed,Claimed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2010,2010,0,1,0
removed,removed,removed,removed,Barren,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2010,2010,0,0,1
removed,removed,removed,removed,Barren,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2010,2010,0,0,1
removed,removed,removed,removed,Barren,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2010,2010,0,0,1
removed,removed,removed,removed,Barren,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2010,2010,0,0,1
removed,removed,removed,removed,Barren,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2010,2010,0,0,1
removed,removed,removed,removed,Barren,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2010,2010,0,0,1
removed,removed,removed,removed,Barren,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2010,2010,0,0,1
removed,removed,removed,removed,Barren,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2010,2010,0,0,1
removed,removed,removed,removed,Barren,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2010,2010,0,0,1
removed,removed,removed,removed,Barren,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2010,2010,0,0,1
removed,removed,removed,removed,Barren,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2010,2010,0,0,1
removed,removed,removed,removed,Barren,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2010,2010,0,0,1
removed,removed,removed,removed,Barren,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2010,2010,0,0,1
removed,removed,removed,removed,Barren,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2010,2010,0,1,0
removed,removed,removed,removed,Developed,Developed,Urbanized,Urbanized,Urbanized,Urbanized,2004,2012,0,0,1
removed,removed,removed,removed,Developed,Developed,Urbanized,Urbanized,Urbanized,Urbanized,2004,2012,1,0,0
removed,removed,removed,removed,Developed,Developed,Urbanized,Urbanized,Urbanized,Urbanized,2004,2012,1,0,0
removed,removed,removed,removed,Barren,Developed,Urbanized,Urbanized,Urbanized,Urbanized,2010,2012,0,0,1
removed,removed,removed,removed,Barren,Developed,Urbanized,Urbanized,Urbanized,Urbanized,2010,2012,0,0,1
removed,removed,removed,removed,Barren,Developed,Urbanized,Urbanized,Urbanized,Urbanized,2010,2012,0,0,1
removed,removed,removed,removed,Barren,Developed,Urbanized,Urbanized,Urbanized,Urbanized,2010,2012,0,0,1
removed,removed,removed,removed,Barren,Barren,Urbanized,Urbanized,Urbanized,Urbanized,2012,2012,0,1,0
removed,removed,removed,removed,Developed,Developed,Developed,Urbanized,Urbanized,Urbanized,2004,2017,0,0,1
removed,removed,removed,removed,Developed,Developed,Developed,Urbanized,Urbanized,Urbanized,2004,2017,0,1,0
removed,removed,removed,removed,Developed,Developed,Developed,Urbanized,Urbanized,Urbanized,2004,2017,0,0,1
removed,removed,removed,removed,Developed,Developed,Developed,Urbanized,Urbanized,Urbanized,2004,2017,0,0,1
removed,removed,removed,removed,Developed,Developed,Developed,Urbanized,Urbanized,Urbanized,2004,2017,0,0,1
removed,removed,removed,removed,Developed,Developed,Developed,Urbanized,Urbanized,Urbanized,2004,2017,0,0,1
removed,removed,removed,removed,Developed,Developed,Developed,Urbanized,Urbanized,Urbanized,2004,2017,1,0,0
removed,removed,removed,removed,Developed,Developed,Developed,Urbanized,Urbanized,Urbanized,2004,2017,1,0,0
removed,removed,removed,removed,Developed,Developed,Developed,Urbanized,Urbanized,Urbanized,2004,2017,0,0,1
removed,removed,removed,removed,Developed,Developed,Developed,Urbanized,Urbanized,Urbanized,2004,2017,1,0,0
removed,removed,removed,removed,Developed,Developed,Developed,Urbanized,Urbanized,Urbanized,2004,2017,1,0,0
removed,removed,removed,removed,Developed,Developed,Developed,Urbanized,Urbanized,Urbanized,2004,2017,1,0,0
removed,removed,removed,removed,Developed,Developed,Developed,Urbanized,Urbanized,Urbanized,2004,2017,0,1,0
removed,removed,removed,removed,Developed,Developed,Developed,Urbanized,Urbanized,Urbanized,2004,2017,0,0,1
removed,removed,removed,removed,Developed,Developed,Developed,Urbanized,Urbanized,Urbanized,2004,2017,0,0,1
removed,removed,removed,removed,Developed,Developed,Developed,Urbanized,Urbanized,Urbanized,2004,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Claimed,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,1,0
removed,removed,removed,removed,Claimed,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Claimed,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,1,0
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,1,0
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Claimed,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,1,0
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,1,0
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Claimed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,1,0
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,1,0
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,1,0,0
removed,removed,removed,removed,Barren,Developed,Developed,Urbanized,Urbanized,Urbanized,2010,2017,1,0,0
removed,removed,removed,removed,Claimed,Claimed,Developed,Urbanized,Urbanized,Urbanized,2012,2017,0,1,0
removed,removed,removed,removed,Claimed,Claimed,Developed,Urbanized,Urbanized,Urbanized,2012,2017,0,0,1
removed,removed,removed,removed,Barren,Claimed,Developed,Urbanized,Urbanized,Urbanized,2012,2017,0,0,1
removed,removed,removed,removed,Barren,Claimed,Developed,Urbanized,Urbanized,Urbanized,2012,2017,0,0,1
removed,removed,removed,removed,Claimed,Claimed,Claimed,Urbanized,Urbanized,Urbanized,2017,2017,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Urbanized,Urbanized,Urbanized,2017,2017,0,1,0
removed,removed,removed,removed,Barren,Barren,Claimed,Urbanized,Urbanized,Urbanized,2017,2017,0,0,1
removed,removed,removed,removed,Barren,Barren,Claimed,Urbanized,Urbanized,Urbanized,2017,2017,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Urbanized,Urbanized,Urbanized,2017,2017,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Urbanized,Urbanized,Urbanized,2017,2017,0,0,1
removed,removed,removed,removed,Developed,Developed,Developed,Developed,Urbanized,Urbanized,2004,2018,0,0,1
removed,removed,removed,removed,Developed,Developed,Developed,Developed,Urbanized,Urbanized,2004,2018,0,1,0
removed,removed,removed,removed,Developed,Developed,Developed,Developed,Urbanized,Urbanized,2004,2018,0,0,1
removed,removed,removed,removed,Developed,Developed,Developed,Developed,Urbanized,Urbanized,2004,2018,0,0,1
removed,removed,removed,removed,Claimed,Developed,Developed,Developed,Urbanized,Urbanized,2010,2018,0,0,1
removed,removed,removed,removed,Claimed,Developed,Developed,Developed,Urbanized,Urbanized,2010,2018,0,0,1
removed,removed,removed,removed,Claimed,Developed,Developed,Developed,Urbanized,Urbanized,2010,2018,0,0,1
removed,removed,removed,removed,Claimed,Developed,Developed,Developed,Urbanized,Urbanized,2010,2018,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Urbanized,Urbanized,2010,2018,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Urbanized,Urbanized,2010,2018,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Urbanized,Urbanized,2010,2018,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Urbanized,Urbanized,2010,2018,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Urbanized,Urbanized,2010,2018,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Urbanized,Urbanized,2010,2018,0,1,0
removed,removed,removed,removed,Barren,Claimed,Developed,Developed,Urbanized,Urbanized,2012,2018,0,0,1
removed,removed,removed,removed,Barren,Barren,Developed,Developed,Urbanized,Urbanized,2012,2018,0,0,1
removed,removed,removed,removed,Barren,Claimed,Developed,Developed,Urbanized,Urbanized,2012,2018,0,0,1
removed,removed,removed,removed,Barren,Claimed,Developed,Developed,Urbanized,Urbanized,2012,2018,0,0,1
removed,removed,removed,removed,Barren,Claimed,Developed,Developed,Urbanized,Urbanized,2012,2018,0,0,1
removed,removed,removed,removed,Barren,Claimed,Claimed,Developed,Urbanized,Urbanized,2017,2018,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Developed,Urbanized,Urbanized,2017,2018,0,0,1
removed,removed,removed,removed,Barren,Claimed,Claimed,Developed,Urbanized,Urbanized,2017,2018,0,0,1
removed,removed,removed,removed,Barren,Claimed,Claimed,Claimed,Urbanized,Urbanized,2018,2018,0,0,1
removed,removed,removed,removed,Developed,Developed,Developed,Developed,Developed,Urbanized,2004,2020,0,1,0
removed,removed,removed,removed,Developed,Developed,Developed,Developed,Developed,Urbanized,2004,2020,1,0,0
removed,removed,removed,removed,Developed,Developed,Developed,Developed,Developed,Urbanized,2004,2020,1,0,0
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Urbanized,2010,2020,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Urbanized,2010,2020,0,0,1
removed,removed,removed,removed,Claimed,Developed,Developed,Developed,Developed,Urbanized,2010,2020,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Urbanized,2010,2020,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Urbanized,2010,2020,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Urbanized,2010,2020,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Urbanized,2010,2020,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Urbanized,2010,2020,0,1,0
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Urbanized,2010,2020,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Urbanized,2010,2020,0,1,0
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Urbanized,2010,2020,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Urbanized,2010,2020,1,0,0
removed,removed,removed,removed,Barren,Barren,Developed,Developed,Developed,Urbanized,2012,2020,1,0,0
removed,removed,removed,removed,Barren,Barren,Developed,Developed,Developed,Urbanized,2012,2020,0,0,1
removed,removed,removed,removed,Barren,Barren,Developed,Developed,Developed,Urbanized,2012,2020,0,0,1
removed,removed,removed,removed,Barren,Claimed,Developed,Developed,Developed,Urbanized,2012,2020,0,0,1
removed,removed,removed,removed,Claimed,Claimed,Claimed,Developed,Developed,Urbanized,2017,2020,0,0,1
removed,removed,removed,removed,Barren,Claimed,Claimed,Developed,Developed,Urbanized,2017,2020,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Barren,Developed,Urbanized,2018,2020,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Claimed,Developed,Urbanized,2018,2020,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Barren,Developed,Urbanized,2018,2020,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Claimed,Developed,Urbanized,2018,2020,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Barren,Developed,Urbanized,2018,2020,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Barren,Barren,Urbanized,2020,2020,0,0,1